paper_id,number_terms
conf_trec_PlachourasHO04,6
conf_trec_PlachourasOAR02,5
conf_trec_PragerBRC00,7
conf_trec_PragerCCWIM03,7
conf_trec_QiL12,7
conf_trec_QiangFHY13,5
conf_trec_QureshiOP13,4
conf_trec_RazmaraFK07,5
conf_trec_ReddZBRR12,16
conf_trec_RikitianskiiHC13,5
conf_trec_RobertsonS02,8
conf_trec_RobertsonW99,6
conf_trec_RobertsonWZH02,7
conf_trec_RobertsonZT03,8
conf_trec_RodeHRWV05,7
conf_trec_RoellekeAWC05,7
conf_trec_Roussinov10,5
conf_trec_RoussinovFCR05,5
conf_trec_RuchCEMCGPC03,7
conf_trec_RuizDS99,6
conf_trec_RuizRFS00,5
conf_trec_RuizSWL07,8
conf_trec_SanJuanFBI08,9
conf_trec_SandersonA01,4
conf_trec_SavoyR00,6
conf_trec_SavoyRP03,7
conf_trec_SaxenaSKS07,8
conf_trec_Schiffman02,6
conf_trec_SchijvenaarsSMWJMKK05,9
conf_trec_SchlaeferGS06,4
conf_trec_SchlaeferKBPNS07,6
conf_trec_SchoneBKCMM04,6
conf_trec_SchoneCCMMS05,3
conf_trec_SchoneCCMMS06,5
conf_trec_SchuemieTK07,8
conf_trec_SchuemieTM11,8
conf_trec_SekiCSM04,11
conf_trec_SerdyukovRH07,3
conf_trec_SerdyukovV09,6
conf_trec_ShakeryZ03,6
conf_trec_ShanZHY09,5
conf_trec_ShenCCLC07,4
conf_trec_ShenWMKHLK07,10
conf_trec_ShiGPS05,13
conf_trec_SiK05,6
conf_trec_SiLC06,7
conf_trec_SinclairW04,7
conf_trec_SinglaI07,5
conf_trec_SmallLAKKPTT11,6
conf_trec_SmeatonO02,6
conf_trec_SmolovZR11,7
conf_trec_SmuckerKL12,8
conf_trec_SmuckerKRL13,5
conf_trec_Soboroff04,10
conf_trec_SoboroffVC06,21
conf_trec_SongHSKR03,5
conf_trec_Soubbotin01,4
conf_trec_SrihariL99,5
conf_trec_SrikanthRS03,8
conf_trec_StoberHFFKRJ15,12
conf_trec_StokesLCHRZ07,8
conf_trec_SunJTCCK05,5
conf_trec_SuwailehHTE15,5
conf_trec_TairaIHIKM03,6
conf_trec_TanDAC14,5
conf_trec_TanevKM04,6
conf_trec_TariTLLGB07,6
conf_trec_TinsleyTML12,4
conf_trec_Tomlinson01,13
conf_trec_Tomlinson02,9
conf_trec_Tomlinson04,7
conf_trec_Tomlinson05,10
conf_trec_Tomlinson07,5
conf_trec_Tomlinson09,5
conf_trec_Tomlinson10,8
conf_trec_Tomlinson11,6
conf_trec_TomlinsonB00,9
conf_trec_TompkinsWS12,4
conf_trec_TomsFL02,6
conf_trec_TongQS03,4
conf_trec_TsaiWHWHLLSH05,3
conf_trec_UllegaddiDPDV09,3
conf_trec_Vechtomova07,6
conf_trec_Vechtomova08,4
conf_trec_Vechtomova10,4
conf_trec_VechtomovaK04,4
conf_trec_Voorhees02,12
conf_trec_Voorhees03,12
conf_trec_Voorhees03b,4
conf_trec_Voorhees04,5
conf_trec_Voorhees05,6
conf_trec_Voorhees06,8
conf_trec_Voorhees07,5
conf_trec_VoorheesH12,5
conf_trec_VydiswaranGLHZ09,6
conf_trec_WangFYXLZF03,5
conf_trec_WangH11,8
conf_trec_WangLLZZMZXCG11,3
conf_trec_WangO08,7
conf_trec_WangSLL13,11
conf_trec_WangSMS08,9
conf_trec_WangXYLCBB01,6
conf_trec_WebberSWZOFPDB10,4
conf_trec_WenH06,4
conf_trec_WesterveldVB02,5
conf_trec_WhitingPZLJ11,6
conf_trec_WhittakerHNF07,6
conf_trec_WhittakerNCF06,6
conf_trec_WillisMA12,7
conf_trec_WingY14,7
conf_trec_WongWLLWK05,4
conf_trec_WoodleyLSKG05,7
conf_trec_WuDSSS05,5
conf_trec_WuDSY03,6
conf_trec_WuHNGXF01,5
conf_trec_WuHNXFZ02,5
conf_trec_WuHYZLZ04,6
conf_trec_WuK09,7
conf_trec_WuL15,7
conf_trec_WuMRL12,8
conf_trec_WuS06,4
conf_trec_WuSG08,6
conf_trec_WuWSKL11,9
conf_trec_WuZDLS03,5
conf_trec_XuC14,5
conf_trec_XuC14a,6
conf_trec_XuLXYSGPC09,5
conf_trec_XuW00,6
conf_trec_XuYWLCLYCB02,5
conf_trec_XuZX04,4
conf_trec_XueZHZLM08,4
conf_trec_YangJZN09,6
conf_trec_YangJZN10,4
conf_trec_YangLLLL05,3
conf_trec_YangYGLMZAMR05,7
conf_trec_YangYVZ06,7
conf_trec_YaoXN08,8
conf_trec_YaoYF15,1
conf_trec_YatesDYGKF12,4
conf_trec_YeungCCLT03,6
conf_trec_YilmazVMKCC15,5
conf_trec_Yom-TovCDPEF05,3
conf_trec_YouMH14,4
conf_trec_YuAGLNNSTWZB05,6
conf_trec_ZaragozaCTSR04,4
conf_vldb_BiveinisSJ07,15
conf_vldb_ChaudhuriDHW04,14
conf_vldb_ChongDES05,0
conf_vldb_GutierrezPST94,14
conf_vldb_Kim93,5
conf_vldb_LevyMS94,8
conf_vldb_Lynch88,7
conf_vldb_LyngbaekM83,22
conf_vldb_RothermelM89,12
conf_vldb_RoweS87,24
conf_vldb_X00a,25
