paper_id,number_occurances,weighted_occurances
conf_trec_oardewwzals06,59,72
conf_trec_wus06,59,72
conf_trec_sekicsm04,59,72
conf_trec_schlaeferkbpns07,59,71
conf_trec_sriharil99,59,70
conf_trec_wudsss05,59,69
conf_trec_kazawaim01,59,69
conf_trec_hullr99,58,69
conf_trec_jijkounmmrst03,58,69
conf_trec_yang01,58,69
conf_trec_robertsonwzh02,58,69
conf_trec_schuemietm11,58,69
conf_trec_katzmbbflllmsuw05,58,69
conf_trec_hymanf10,58,69
conf_trec_browndh03,58,69
conf_trec_wulw15,58,69
conf_trec_xuyzsn07,58,69
conf_trec_tairaihikm03,58,67
conf_trec_macdonaldhpo05,58,66
conf_trec_chu-carrolladgmphw06,58,66
conf_jcdl_muir01,57,66
conf_jcdl_witty12,57,66
conf_jcdl_barker09,57,66
conf_jcdl_kumarscs04,57,66
conf_sigir_pacakp71,57,66
conf_sigir_lis14,57,66
conf_sigir_pintomwc03,57,66
conf_ercimdl_sompell02,57,66
conf_ercimdl_bainbridgewbt09,57,66
conf_ercimdl_liumztprrnolskghbcgnbmlpdm02,57,65
conf_icwsm_ankmof16,57,63
conf_icwsm_cranshawshs12,57,63
conf_esws_kieferbl08,57,63
conf_esws_baumgartnerhh05,57,63
conf_esws_hasan14a,57,63
conf_esws_wangtd14,57,63
conf_esws_rulapnglb14,57,63
conf_esws_stankovicrl12,57,63
conf_esws_costabellovrg13,57,62
conf_esws_tomabsd08,57,62
conf_esws_halpinp09,57,62
conf_esws_wittezr07,57,62
conf_vldb_bohannoneff06,57,61
conf_vldb_biveinissj07,57,60
conf_trec_xuywlclycb02,57,60
conf_trec_piatkommc04,57,60
conf_trec_fallenn07,57,60
conf_trec_whittakerncf06,57,60
conf_trec_yanlzp05,57,60
conf_trec_singhalabchp99,56,60
conf_trec_chenjg00,56,60
conf_trec_jingujilembejnyz06,56,60
conf_trec_collins-thompsonozc02,56,60
conf_trec_allan05,55,60
conf_trec_mollag04,55,60
conf_trec_lupuphzt09,55,60
conf_trec_demner-fushmanajlrliaa11,55,60
conf_trec_almquisthsas07,55,60
conf_trec_mccreadievmommm15,55,60
conf_trec_sanjuanfbi08,55,60
conf_jcdl_paynter05,54,60
conf_jcdl_dushay02,54,57
conf_jcdl_yanl07,54,57
conf_jcdl_foltynlk12,54,57
conf_jcdl_tansleybsbcms03,54,57
conf_jcdl_cranej06,54,57
conf_sigir_pragerbcr00,54,57
conf_sigir_gollinss01,54,57
conf_sigir_swana98,54,57
conf_sigir_bastbh15,54,57
conf_sigir_hemcz07,54,57
conf_sigir_bawamr03,54,57
conf_ercimdl_wittenbpb02,54,57
conf_ercimdl_martinezbc98,54,57
conf_ercimdl_ayresbh04,54,57
conf_ercimdl_tansleybs03,54,57
conf_esws_langeggerwb08,54,57
conf_esws_ilievskibers16,54,57
conf_esws_stolzrrh14,54,57
conf_esws_mollerrs09,54,57
conf_esws_maalicp12,54,57
conf_esws_dietzegd07,54,57
conf_esws_schlobach05,54,57
conf_esws_siorpaesh08,54,57
conf_esws_kerriganmtf07,54,54
conf_esws_bruggemannbxk16,54,54
conf_vldb_bhattacharjeepmlch03,54,54
conf_vldb_shethkmwdlpls96,54,54
conf_vldb_acharyafz96,54,54
conf_vldb_ninkhr99,54,54
conf_vldb_cotterb00,54,54
conf_trec_pragerbrc00,54,54
conf_trec_kosseimbkr06,54,54
conf_trec_baronlo06,54,54
conf_trec_hauptmannjpnqht01,53,54
conf_trec_geyj99,52,54
conf_trec_liuwhz07,52,54
conf_trec_fujita00,52,54
conf_trec_nguyenf14,52,54
conf_trec_jinl14,52,54
conf_trec_sutcliffe02,52,54
conf_jcdl_chengczs01,51,54
conf_jcdl_buchanan10,51,54
conf_jcdl_newmanhcs07,51,54
conf_jcdl_stewartcb07,51,54
conf_jcdl_ishiharaistt12,51,54
conf_jcdl_colehv12,51,54
conf_sigir_zwicklbauersg16,51,54
conf_sigir_sagss16,51,54
conf_ercimdl_kenneysb98,51,54
conf_ercimdl_pontec97,51,54
conf_ercimdl_doerrf98,51,54
conf_esws_heeskbad13,51,54
conf_esws_bouquetsb08,51,54
conf_esws_lopezmu06,51,54
conf_esws_loschbr12,51,51
conf_esws_lefrancoisz16,51,51
conf_esws_kontokostasmdel16,51,51
conf_esws_hert09,51,51
conf_esws_pedrinacicl14,51,51
conf_esws_ibragimovhpz15,51,51
conf_esws_gottrong14,51,51
conf_esws_bruijnlpf06,51,51
conf_esws_aprosiogl13,51,51
conf_esws_kapanipathi0vs14,51,51
conf_vldb_onol90,51,51
conf_trec_geller04,51,51
conf_vldb_lynch88,51,51
conf_trec_wangllzzmzxcg11,51,51
conf_trec_dangkl07,51,51
conf_trec_franzmw99,50,51
conf_jcdl_oltmansdw04,48,51
conf_jcdl_bollens06,48,51
conf_jcdl_alammn15,48,51
conf_jcdl_lagozeaghikmpsthmagk02,48,51
conf_jcdl_rimkush13,48,51
conf_jcdl_papadakisinpn11,48,51
conf_jcdl_clarksonnf09,48,51
conf_jcdl_chauzc01,48,51
conf_jcdl_sandersonw07,48,51
conf_jcdl_oldenettelmr03,48,48
conf_jcdl_lacastalrn14,48,48
conf_sigir_manmatharf01,48,48
conf_sigir_zhangzlm13,48,48
conf_sigir_kons07,48,48
conf_sigir_zhangzc12,48,48
conf_sigir_muramatsup01,48,48
conf_sigir_downien00,48,48
conf_sigir_williamson85,48,48
conf_sigir_wangswzsll15,48,48
conf_ercimdl_mony97,48,48
conf_ercimdl_schindlerbd05,48,48
conf_ercimdl_henry04,48,48
conf_ercimdl_sugimotomdont98,48,48
conf_ercimdl_auffretb99,48,48
conf_esws_alecrs16,48,48
conf_esws_tuominenfvh09,48,48
conf_esws_gengeh09,48,48
conf_esws_grozahmd08,48,48
conf_esws_gorrellpb15,48,48
conf_esws_schmidtsst07,48,48
conf_esws_dubeydshl16,48,48
conf_esws_usbecknbu15,48,48
conf_esws_kietzsfb14,48,48
