paper_id,number_occurances,weighted_occurances
conf_esws_beretask13,11,11
conf_esws_szekelykyzfag13,11,11
conf_esws_lambrixl09,11,11
conf_esws_aprosiogl13,11,11
conf_www_leopoldhp02,11,11
conf_www_motikgs08,11,11
conf_www_gelernterh16,11,11
conf_www_galarragaths13,11,11
conf_www_liptchinskyszd13,11,11
conf_www_beyerch05,11,11
conf_www_kindberg02,11,11
conf_www_plesserscytshg05,11,11
conf_www_miles-boardbhc04,11,11
conf_www_schojerbhpp03,11,11
conf_www_abadig02,11,11
conf_www_zhaomwry05,11,11
conf_www_lamparterasg07,11,11
conf_www_chakrabartikbrs12,11,11
conf_www_suchanekkw07,11,11
conf_www_radevfqwg02,11,11
conf_www_kuzeyssw16,11,11
conf_www_kotzinospaac05,11,11
conf_www_jimsh07,11,11
conf_www_yinchzh11,11,11
conf_www_sunmg08,11,11
conf_icse_milicevicryj11,11,11
conf_icse_0010z14,11,11
conf_icse_huangztwl14,11,11
conf_icse_myerso81,11,11
conf_icse_maozrr14,11,11
conf_icse_briandwil99,11,11
conf_icse_inouehhn02,11,11
conf_icse_grechanikbp04,11,11
conf_icse_avrilioniscf96,11,11
conf_icse_cabrilz01,11,11
conf_icse_bestjn07,11,11
conf_icse_zhang09,11,11
conf_icse_duala-ekokor12,11,11
conf_icse_bonfattigm97,11,11
conf_icse_bortis08,11,11
conf_icse_wangsyhhm06,11,11
conf_icse_pezzey97,11,11
conf_icse_randell79,11,11
conf_icse_baynece11,11,11
conf_icse_kimng07,11,11
conf_vldb_ganesanbg04,11,11
conf_vldb_palcssgz04,11,11
conf_vldb_careyd96,11,11
conf_vldb_barionirtt06,11,11
conf_vldb_moerkotten06,11,11
conf_vldb_bartacm05,11,11
conf_vldb_anciauxbp03,11,11
conf_vldb_leens07,11,11
conf_vldb_markowitzm87,11,11
conf_vldb_jaedickem99,11,11
conf_vldb_chubcdn07,11,11
conf_vldb_abiteboulmrvw98,11,11
conf_vldb_abiteboulsgs86,11,11
conf_vldb_donghmnz04,11,11
conf_vldb_treschpl95,11,11
conf_vldb_cunninghamgg04,11,11
conf_vldb_moerkotte98,11,11
conf_vldb_yangg01,11,11
conf_vldb_subramanianbllsstyw07,11,11
conf_vldb_colletcs94,11,11
conf_vldb_mukherjeab04,11,11
conf_vldb_leefl88,11,11
conf_vldb_agrawalbshnsw06,11,11
conf_vldb_cha04,11,11
conf_jcdl_lagozekcdes06,10,10
conf_jcdl_bollens06,10,10
conf_jcdl_torresmakr04,10,10
conf_jcdl_krafftbc08,10,10
conf_jcdl_manguinhasfb10,10,10
conf_jcdl_tansleybsbcms03,10,10
conf_sigir_smith73,10,10
conf_sigir_kokb88,10,10
conf_sigir_wanz14,10,10
conf_sigir_schenkelckmnpw08,10,10
conf_sigir_trevisiolcaj12,10,10
conf_sigir_caihwm04,10,10
conf_sigir_fungcat90,10,10
conf_sigir_zhaoh14,10,10
conf_sigir_salminen87,10,10
conf_sigir_wanghcswc13,10,10
conf_sigir_rabinovichrk14,10,10
conf_sigir_aslamkpsy09,10,10
conf_sigir_wangglxwc15,10,10
conf_ercimdl_zimmertw07,10,10
conf_ercimdl_bainbridgewbt09,10,10
conf_ercimdl_paulphc98,10,10
conf_ercimdl_doerrf98,10,10
conf_ercimdl_smeatonocvdhrsw02,10,10
conf_ercimdl_llavadorc07,10,10
conf_trec_sanjuanfbi08,10,10
conf_trec_karimimgcsz11,10,10
conf_trec_jabeurdtpcb12,10,10
conf_trec_moldovancb07,10,10
conf_trec_franzmw99,10,10
conf_trec_tomlinson05,10,10
conf_trec_browndh03,10,10
conf_trec_bagdourio15,10,10
conf_trec_bernsteinbglszw05,10,10
conf_trec_dean-hallcktv12,10,10
conf_trec_kingwpz11,10,10
conf_trec_zhangc00,10,10
conf_trec_linadoww05,10,10
conf_trec_attardis06,10,10
conf_trec_zhuzcc07,10,10
conf_trec_monzkr02,10,10
conf_trec_ferretgijm99,10,10
conf_trec_baileyak07,10,10
conf_trec_hemops08,10,10
conf_icwsm_mcglohonh09,10,10
conf_esws_kampgenh13,10,10
conf_esws_ellhs14,10,10
conf_esws_tzitzikasmmfamz14,10,10
conf_esws_bothdssc016,10,10
conf_esws_gorrellpb15,10,10
conf_esws_pottera05,10,10
conf_esws_khalililh16,10,10
conf_esws_kourtesisp08,10,10
conf_esws_schroeterhn07,10,10
conf_esws_saiffha14,10,10
conf_esws_halpinb15,10,10
conf_esws_dubeydshl16,10,10
conf_esws_ghidinis06,10,10
conf_esws_pichlerpww08,10,10
conf_esws_svabss07,10,10
conf_esws_viljanenth09,10,10
conf_www_deutchgkm12,10,10
conf_www_bennettsd10,10,10
conf_www_harrenrsbbps05,10,10
conf_www_canalibf13,10,10
conf_www_tolias07,10,10
conf_www_pasternackr09,10,10
conf_www_jacksonb08,10,10
conf_www_auerdlha09,10,10
conf_www_robertson06,10,10
conf_www_adida08,10,10
conf_www_shadgarh04,10,10
conf_www_johanson01,10,10
conf_www_schonfelds09,10,10
conf_www_agarwaldkkkms05,10,10
conf_www_zhangssl11,10,10
conf_www_guoiag07,10,10
